fold,train_start,train_end,oos_start,oos_end,pair,pvalue,oos_sharpe,oos_trades,oos_winrate
1,2022-01-03,2023-01-03,2023-01-04,2023-03-30,NOC/XOM,0.005,-1.0004,12,0.5833
2,2022-03-30,2023-03-30,2023-03-31,2023-06-27,MSFT/NOC,0.012,-2.2111,1,0.0
3,2022-06-27,2023-06-27,2023-06-28,2023-09-21,LMT/XOM,0.0365,0.8089,19,0.7368
4,2022-09-21,2023-09-21,2023-09-22,2023-12-15,AAPL/MSFT,0.0209,0.4722,20,0.65
5,2022-12-15,2023-12-15,2023-12-18,2024-03-14,NOC/XLF,0.0012,3.1918,36,0.6944
6,2023-03-15,2024-03-14,2024-03-15,2024-06-10,AAPL/XOM,0.0093,0.8425,23,0.5652
7,2023-06-09,2024-06-10,2024-06-11,2024-09-05,AMZN/XLF,0.0035,-0.9063,12,0.5833
8,2023-09-06,2024-09-05,2024-09-06,2024-11-29,GLD/RTX,0.0126,1.0972,19,0.5263
9,2023-11-30,2024-11-29,2024-12-02,2025-02-28,GLD/RTX,0.0256,-0.0801,46,0.4783
10,2024-02-28,2025-02-28,2025-03-03,2025-05-27,GDX/RTX,0.0104,1.4646,16,0.6875
11,2024-05-23,2025-05-27,2025-05-28,2025-08-21,XLE/XLK,0.0351,-0.3879,57,0.4912
12,2024-08-20,2025-08-21,2025-08-22,2025-11-14,RTX/SLV,0.0009,-1.4607,17,0.3529
13,2024-11-13,2025-11-14,2025-11-17,2026-02-12,XLE/XLK,0.0237,-4.7171,37,0.4324
14,2025-02-12,2026-02-12,2026-02-13,2026-05-11,AMZN/XLF,0.0034,-2.822,26,0.4615
